,text,label
1,call sis im boy girl still faggot shut,offensive
2,@user @user legit nilas retarded idk,offensive_disrespectful
3,said retard @url,fearful_abusive_offensive_hateful
4,america another 8 years obama's ideology via hillary we'd well way shithole country.,fearful_abusive_hateful_disrespectful_normal
5,@user don... fucking made cry twat.,offensive
6,one wants 2 negro swan,offensive
7,@user @user @user hahaha. one trump's shithole countries?,offensive
8,u juul ur faggot,offensive
9,@user @user even called country shithole people shithole people. sad.,offensive
10,canadians never met seen associated person currently labelled retarded . plan @url,offensive
11,@user @user south africa years come. keep supporting loud mouth poli @url,offensive
12,@user i'm oprah winfrey. oprah singing faggot,offensive
13,hahaha grow faggot @url,offensive
14,@user michael - live one 'shithole' countries tell caravan respective @url,offensive
15,saturday everyone remember beer liquor never sicker liquor beer fucking twat man fuck,offensive
16,dope new gospel - lighter flick. soul beat. win. fire already. keep mind i'm negro / open min @url,normal
17,@user queue fucking retarded makes everyone feel like even chance make fcfs fucksake,offensive_hateful
18,@user mexican spic dora,hateful_disrespectful
19,shorty called faggot cause respond lmfaoooo,offensive
20,@user ok maybe send finished,normal
21,@user cunt embarrassment club,hateful_disrespectful
22,wow watching documentary evidence sexual assault cases.. wonder rapists believe whatev @url,offensive
23,@user que ce ne soit pas des burundais refugies alerte car leur corps sont visibles loeil nu,hateful_normal
24,dude i'm tired retarded,offensive
25,mongoloid ordered 9 dozen donuts 8 called back see sell craft coffee,hateful
26,also believes slaves immigrants. he's fool disgrace injustices done *his* gop white peop @url,offensive
27,pretty sure employee philip green called 'balding racist sexist twat' would perceived dismi @url,offensive
28,3 people shot armed police officers dumb twat @url,abusive_offensive
29,@user would honduras guatemala quality shithole countries?...,offensive
30,@user @user btw. allowed say shithole countries? also allowed say wes @url,normal
31,yepnnplus spic &amp; span waxed &amp; buffed: fitting suspects dishevelled profile; new posters (not faded th @url,offensive
32,@user @user trump voice:nmy friend chinaman longer us #chanded,offensive
33,bitch retarded  hate @url,offensive
34,@user migrants.7z,abusive_normal
35,hetero guy: faggot bet wanna suck dick nnme: @url,offensive_normal
36,@user fallait pad arriver en retard,abusive_offensive_hateful_disrespectful_normal
37,using word retard form great way make lose huge amount respect you.,fearful_offensive_hateful_disrespectful_normal
38,everyone knows feminazi's r lying gd teeth @user @user @user @url,offensive
39,@user care moral voters; want liberals illegal aliens ms13...,offensive
40,@user still bitter cunt. much interest arsenal? player player fod us get sold.,abusive_hateful
41,1 box pencil mongol no.2 pencil case na may blessing ng holy water quiapo/st. jude.,normal
42,@user @user losely quote trump/trumpers. dont need immigrants - vietnam country. @url,offensive
43,@user @user second grade called dirty jew another second grade girl. made sense @url,offensive
44,@user shut raghead.....,offensive
45,@user what's spic_,offensive_disrespectful
46,think women might retarded bro. like possesses y'all say shit y'all say? ,offensive
47,children = 52% refugees,fearful_abusive_hateful_normal
48,@user @user msnbc identified terrorist organization! leftist media well!,fearful_abusive_offensive_disrespectful_normal
49,doesnt right? negro default,fearful_offensive_disrespectful_hateful_normal
50,@user wtf gym king phone little twat,offensive
51,absolute mongoloid gtfo lmaooo @url,offensive
52,retarded. okay perfect.,offensive
53,@user @user coincidentally timed caravan love coming shithole countries pretty sure unrelated ,hateful
54,fucking hate sonic drops coins valuable little cunt slow,offensive
55,@user mean platonic dyke way @url,normal
